Code;Libellé;Médiane du niveau de vie 2021
01277;Nivollet-Montgriffon;23550
01279;Oncieu;N/A - résultat non disponible
01280;Ordonnaz;23420
01281;Ornex;37070
01282;Outriaz;25470
01283;Oyonnax;18340
01284;Ozan;23270
01285;Parcieux;29480
01286;Parves et Nattages;26600
01288;Péron;39700
01289;Péronnas;24100
01290;Pérouges;26770
01291;Perrex;24000
01293;Peyriat;24740
01294;Peyrieu;23600
01295;Peyzieux-sur-Saône;24570
01296;Pirajoux;22920
01297;Pizay;27060
01298;Plagne;29270
01299;Le Plantay;25540
01301;Polliat;25060
01302;Pollieu;24270
01303;Poncin;22280
01304;Pont-d'Ain;22810
01305;Pont-de-Vaux;21070
01306;Pont-de-Veyle;21330
01307;Port;22270
01308;Pougny;41270
01309;Pouillat;N/A - résultat non disponible
01310;Prémeyzel;24070
01311;Prémillieu;N/A - résultat non disponible
01313;Prévessin-Moëns;44430
01314;Priay;25110
01317;Ramasse;24270
01318;Rancé;29400
01319;Relevant;25090
01320;Replonges;24890
01321;Revonnas;27570
01322;Reyrieux;29130
01323;Reyssouze;23300
01325;Rignieux-le-Franc;26270
01328;Romans;25220
01329;Rossillon;20680
01330;Ruffieu;21390
01331;Saint-Alban;24030
01332;Saint-André-de-Bâgé;25800
01333;Saint-André-de-Corcy;26550
01334;Saint-André-d'Huiriat;24370
01335;Saint-André-le-Bouchoux;25930
01336;Saint-André-sur-Vieux-Jonc;24070
01337;Saint-Bénigne;23070
01338;Groslée-Saint-Benoit;23430
01339;Saint-Bernard;32220
01342;Sainte-Croix;30350
01343;Saint-Cyr-sur-Menthon;24170
01344;Saint-Denis-lès-Bourg;25580
01345;Saint-Denis-en-Bugey;23670
01346;Saint-Didier-d'Aussiat;24190
01347;Saint-Didier-de-Formans;28190
01348;Saint-Didier-sur-Chalaronne;23560
01349;Saint-Éloi;26490
01350;Saint-Étienne-du-Bois;24380
01351;Saint-Étienne-sur-Chalaronne;23960
01352;Saint-Étienne-sur-Reyssouze;23260
01353;Sainte-Euphémie;27990
01354;Saint-Genis-Pouilly;30790
01355;Saint-Genis-sur-Menthon;24660
01356;Saint-Georges-sur-Renon;25660
01357;Saint-Germain-de-Joux;21610
01358;Saint-Germain-les-Paroisses;23210
01359;Saint-Germain-sur-Renon;25790
01360;Saint-Jean-de-Gonville;42220
01361;Saint-Jean-de-Niost;28140
01362;Saint-Jean-de-Thurigneux;28910
01363;Saint-Jean-le-Vieux;24660
01364;Saint-Jean-sur-Reyssouze;22170
01365;Saint-Jean-sur-Veyle;24530
01366;Sainte-Julie;24930
01367;Saint-Julien-sur-Reyssouze;22270
01368;Saint-Julien-sur-Veyle;23300
01369;Saint-Just;27390
01370;Saint-Laurent-sur-Saône;19550
01371;Saint-Marcel;25130
01372;Saint-Martin-de-Bavel;25590
01373;Saint-Martin-du-Frêne;25030
01374;Saint-Martin-du-Mont;25490
01375;Saint-Martin-le-Châtel;25350
01376;Saint-Maurice-de-Beynost;23570
01378;Saint-Maurice-de-Gourdans;28170
01379;Saint-Maurice-de-Rémens;24110
01380;Saint-Nizier-le-Bouchoux;22400
01381;Saint-Nizier-le-Désert;24340
01382;Sainte-Olive;25280
01383;Saint-Paul-de-Varax;23200
01384;Saint-Rambert-en-Bugey;20170
01385;Saint-Rémy;27430
